Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
SQL. Быстрое погружение,Шилдс Уолтер,Питер:Библиотека программиста,1 270,1 628,22
Spring Boot по-быстрому,Хеклер Марк,Питер:Бестселлеры O`Reilly,2 397,3 073,22
Параллельное программирование на современном С++,Гримм Райнер,ДМК-Пресс,3 350,5 583,40
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI,Стейпл Дэнни,ДМК-Пресс,2 177,3 628,40
Практический хакинг интернета вещей,Чанцис Фотиос и др.,ДМК-Пресс,3 016,5 026,40
Spring в действии,Уоллс Крейг,ДМК-Пресс,3 350,5 583,40
Практическое введение в решение дифференциальных уравнений в Python,Ершов Николай Михайлович,ДМК-Пресс,1 676,2 793,40
Open Source. Разработка программ с открытым исходным кодом,Эгбал Надья,Питер:Библиотека программиста,2 405,3 083,22
"Теоретический минимум по Computer Science. Сети, криптография и data science","Феррейра Фило Владстон, Пиктет Мото",Питер:Библиотека программиста,1 701,2 181,22
Программирование в Roblox. Сделать игру - проще простого,Брамбо Зандер,ДМК-Пресс,1 676,2 793,40
Алгоритмы. Самый краткий и понятный курс,Луридас Панос,Бомбора:Библиотека MIT,832,Нету старой цены,Нету скидки
Масштабируемый рефакторинг. Возвращаем контроль над кодом,Лемер Мод,Питер:Бестселлеры O`Reilly,1 631,2 091,22
Многопоточный JavaScript,"Хантер Томас II, Инглиш Брайан",ДМК-Пресс,2 177,3 628,40
JavaScript. Визуальные редакторы. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 968,Нету старой цены,Нету скидки
JavaScript. Визуальные редакторы. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 621,Нету старой цены,Нету скидки
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань:Компьютеры и программное обеспечение,4 256,Нету старой цены,Нету скидки
Алгоритмы Data Science и их практическая реализация на Python,Протодьяконов Андрей Владимирович и др.,Инфра-Инженерия,1 791,2 985,40
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,726,1 210,40
Head First. Изучаем C#,"Стиллмен Эндрю, Грин Дженнифер",Питер:Head First (O'Reilly),2 908,3 728,22
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3 210,5 350,40
Алгоритмы и программы. Язык С++. Учебное пособие для СП,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,2 298,Нету старой цены,Нету скидки
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань:Математика,5 085,Нету старой цены,Нету скидки
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,4 151,Нету старой цены,Нету скидки
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,3 184,5 306,40
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2 836,3 636,22
